,rank,song_name,song_id,artist_name,artist_id,alb_name,alb_id
0,1,여행,31093710,볼빨간사춘기,792022,Red Diary Page.2,10170069
1,2,FAKE LOVE,31085237,방탄소년단,672375,LOVE YOURSELF 轉 'Tear',10168559
2,3,밤 (Time for the moon night),31052421,여자친구 (GFRIEND),828478,여자친구 The 6th Mini Album 'Time for the moon night',10163106
3,4,주지마,31035061,로꼬,688432,건반 위의 하이에나 Part.4,10160487
4,5,지나오다,30699142,닐로(Nilo),896096,About You,10106853
5,6,You,30849733,멜로망스,839732,투유 프로젝트 - 슈가맨2 Part.2,10131018
6,7,빙글뱅글 (Bingle Bangle),31098083,AOA,686920,BINGLE BANGLE,10170965
7,8,What is Love?,31006730,TWICE (트와이스),905701,What is Love?,10156195
8,9,전하지 못한 진심 (Feat. Steve Aoki),31085238,방탄소년단,672375,LOVE YOURSELF 轉 'Tear',10168559
9,10,사랑을 했다 (LOVE SCENARIO),30859584,iKON,895741,Return,10132945
10,11,붕붕 (Feat. 식케이) (Prod. GroovyRoom),31019584,김하온 (HAON),2112493,고등래퍼2 Final,10158254
11,12,My Way,30721801,이수 (엠씨더맥스),214784,돈꽃 OST Part.1,10110396
12,13,뿜뿜,30816860,모모랜드 (MOMOLAND),1221596,GREAT!,10124822
13,14,별이 빛나는 밤,30937275,마마무 (Mamamoo),750053,Yellow Flower,10145303
14,15,그날처럼,30755375,장덕철,829211,그날처럼,10115186
15,16,잊을만하면,31056799,Crush,674710,잊을만하면,10163835
16,17,Anpanman,31085244,방탄소년단,672375,LOVE YOURSELF 轉 'Tear',10168559
17,18,DNA,30637982,방탄소년단,672375,LOVE YOURSELF 承 'Her',10097112
18,19,LATATA,31055324,(여자)아이들,2137482,I am,10163578
19,20,"모든 날, 모든 순간 (Every day, Every Moment)",30962526,폴킴,752425,'키스 먼저 할까요?' OST Part.3,10149492
20,21,그때 헤어지면 돼,30884950,로이킴,699632,그때 헤어지면 돼,10137574
21,22,소나기 (Feat. 10cm),30970444,용준형,243232,소나기 (Feat. 10cm),10150572
22,23,HandClap,8111603,Fitz & The Tantrums,750471,Fitz and The Tantrums (Deluxe Edition),2675179
23,24,봄날,30244931,방탄소년단,672375,YOU NEVER WALK ALONE,10037969
24,25,꽃 길,30948698,BIGBANG (빅뱅),198094,꽃 길,10147314
25,26,Roller Coaster,30844118,청하,968265,Offset,10129940
26,27,EVERYDAY,30997649,WINNER,775197,EVERYD4Y,10154916
27,28,욕심,31046548,멜로망스,839732,욕심,10162211
