,rank,song_name,song_id,artist_name,artist_id,alb_name,alb_id
0,1,리무진 (Feat. MINO) (Prod. GRAY),34298499,BE'O (비오),2758756,쇼미더머니 10 Episode 3,10784974
1,2,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",34256568,sokodomo,2561475,쇼미더머니 10 Episode 2,10775252
2,3,만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL),34298496,베이식 (Basick),241227,쇼미더머니 10 Episode 3,10784974
3,4,불협화음 (Feat. AKMU) (Prod. GRAY),34331506,Mudd the student,2757382,쇼미더머니 10 Semi Final,10793912
4,5,쉬어 (Feat. MINO) (Prod. GRAY),34215822,아넌딜라이트(Anandelight),2402561,쇼미더머니 10 Episode 1,10765081
5,6,strawberry moon,34101563,아이유,261143,strawberry moon,10743453
6,7,Wake Up (Prod. 코드 쿤스트),34215821,개코,3264,쇼미더머니 10 Episode 1,10765081
7,8,ELEVEN,34349913,IVE (아이브),3055146,ELEVEN,10798794
8,9,사랑은 늘 도망가,34061322,임영웅,994944,신사와 아가씨 OST Part.2,10735654
9,10,다정히 내 이름을 부르면,33496587,경서예지,2863470,다정히 내 이름을 부르면 (경서예지 x 전건호),10610525
10,11,네가 없는 밤 (Feat. ASH ISLAND) (Prod. GRAY),34366006,BE'O (비오),2758756,쇼미더머니 10 Final,10802694
11,12,신호등,33480898,이무진,2138620,신호등,10607796
12,13,Savage,34041584,aespa,2899555,Savage - The 1st Mini Album,10731792
13,14,MBTI (Feat. 쿠기 & 로꼬) (Prod. GRAY),34331510,BE'O (비오),2758756,쇼미더머니 10 Semi Final,10793912
14,15,STAY,33658563,The Kid LAROI,2743730,Stay,10646395
15,16,Next Level,33487342,aespa,2899555,Next Level,10609232
16,17,All I Want for Christmas Is You,14776,Mariah Carey,2274,Merry Christmas (Deluxe Anniversary Edition),829
17,18,너를 생각해,33978183,주시크 (Joosiq),2880487,너를 생각해,10716399
18,19,매일 크리스마스 (Everyday Christmas),34369413,다비치,236815,매일 크리스마스 (Everyday Christmas),10803363
19,20,Santa Tell Me,5475060,Ariana Grande,597451,Santa Tell Me,2292117
20,21,OHAYO MY NIGHT,32698101,디핵 (D-Hack),785501,OHAYO MY NIGHT,10447520
21,22,낙하 (with 아이유),33725775,AKMU (악뮤),712452,NEXT EPISODE,10661658
22,23,"호우주의 (Feat. 개코, 넉살 (Nucksal)) (Prod. 코드 쿤스트)",34331508,조광일,2738493,쇼미더머니 10 Semi Final,10793912
23,24,눈이 오잖아(Feat.헤이즈),34360855,이무진,2138620,눈이 오잖아(Feat.헤이즈),10801677
24,25,My Universe,33998510,Coldplay,100260,My Universe,10720913
25,26,바라만 본다,33625988,MSG워너비(M.O.M),2939212,MSG워너비 1집,10638275
26,27,문득,33448767,BE'O (비오),2758756,Bipolar,10601149
27,28,Butter,33507137,방탄소년단,672375,Butter,10612483
28,29,Permission to Dance,33666269,방탄소년단,672375,Butter / Permission to Dance,10648182
29,30,"깐부 (Feat. 염따, ASH ISLAND) (Prod. TOIL)",34298498,KOONTA (쿤타),254105,쇼미더머니 10 Episode 3,10784974
30,31,Peaches (Feat. Daniel Caesar & Giveon),33359317,Justin Bieber,420621,Justice (The Complete Edition),10580103
31,32,헤픈 우연,33503722,헤이즈 (Heize),751611,HAPPEN,10611845
32,33,Weekend,33655994,태연 (TAEYEON),236797,Weekend,10645654
33,34,Dynamite,32872978,방탄소년단,672375,Dynamite (DayTime Version),10479150
34,35,Celebrity,33239419,아이유,261143,IU 5th Album 'LILAC',10554246
35,36,Bad Habits,33623210,Ed Sheeran,549800,=,10637411
36,37,밤하늘의 별을(2020),33061995,경서,994005,밤하늘의 별을(2020),10518234
37,38,라일락,33372781,아이유,261143,IU 5th Album 'LILAC',10554246
38,39,고백,33868791,멜로망스,839732,세 번째 '고백',10695590
39,40,너와 나의 Memories,34215820,염따,202530,쇼미더머니 10 Episode 1,10765081
40,41,Snowman,30717645,Sia,54103,Everyday Is Christmas (Snowman Deluxe Edition),10107511
41,42,찰나가 영원이 될 때 (The Eternal Moment),33976677,마크툽 (MAKTUB),566431,Red Moon : Beyond The Light,10716174
42,43,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",32061975,AKMU (악뮤),712452,항해,10331947
43,44,시간을 거슬러 (낮에 뜨는 달 X 케이윌),33878014,케이윌,175139,시간을 거슬러 (낮에 뜨는 달 X 케이윌),10698116
44,45,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",33359725,호미들,2754623,사이렌 Remix,10580227
45,46,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),3053259,아이유,261143,Real,1093562
46,47,이제 나만 믿어요,32508053,임영웅,994944,내일은 미스터트롯 우승자 특전곡,10412319
47,48,롤린 (Rollin'),30287019,브레이브걸스,531700,Rollin',10043575
48,49,좋아좋아,33691794,조정석,253606,슬기로운 의사생활 시즌2 OST Part 5,10653694
49,50,내 손을 잡아,3414749,아이유,261143,최고의 사랑 OST Part.4,1286252
50,51,"08베이식 (Feat. 염따, punchnello)",34331507,베이식 (Basick),241227,쇼미더머니 10 Semi Final,10793912
51,52,밝게 빛나는 별이 되어 비춰줄게,33167063,송이한,2189536,밝게 빛나는 별이 되어 비춰줄게,10540298
52,53,추억은 만남보다 이별에 남아,33248758,정동하,181188,추억은 만남보다 이별에 남아,10556610
53,54,"모든 날, 모든 순간 (Every day, Every Moment)",30962526,폴킴,752425,'키스 먼저 할까요?' OST Part.3,10149492
54,55,그게 더 편할 것 같아 (N번째 연애 X 멜로망스),34326186,멜로망스,839732,그게 더 편할 것 같아 (N번째 연애 X 멜로망스),10792490
55,56,SCIENTIST,34254823,TWICE (트와이스),905701,Formula of Love: O+T=<3,10774753
56,57,TROUBLE (Prod. Slom),34215819,Don Mills,729407,쇼미더머니 10 Episode 1,10765081
57,58,"UP해 (Feat. 박재범, 우원재) (Prod. 코드 쿤스트)",34366007,SINCE,2138586,쇼미더머니 10 Final,10802694
58,59,"Reset (Feat. 개코, Kid Milli) (Prod. 코드 쿤스트)",34298493,SINCE,2138586,쇼미더머니 10 Episode 3,10784974
59,60,DUMB DUMB,33749109,전소미,968260,DUMB DUMB,10667450
60,61,비가 오는 날엔 (2021),33759183,헤이즈 (Heize),751611,비가 오는 날엔 (2021),10670618
61,62,Last Christmas,4365842,Ariana Grande,597451,Christmas Kisses,2222050
62,63,Dun Dun Dance,33464805,오마이걸 (OH MY GIRL),857994,Dear OHMYGIRL,10604729
63,64,Blueming,32183386,아이유,261143,Love poem,10346650
64,65,비와 당신,33589488,이무진,2138620,슬기로운 의사생활 시즌2 OST Part 1,10631122
65,66,크리스마스니까,3973781,성시경,3305,Jelly Christmas 2012 HEART PROJECT,2168409
66,67,나 그댈위해 시 한편을 쓰겠어,34171026,케이시 (Kassy),858125,옛이야기,10754229
67,68,Off My Face,33359309,Justin Bieber,420621,Justice (The Complete Edition),10580103
68,69,Queendom,33805289,Red Velvet (레드벨벳),780066,Queendom - The 6th Mini Album,10680450
69,70,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),31853557,마크툽 (MAKTUB),566431,Red Moon : To You My Light,10294603
70,71,가리온 (Feat. 다이나믹 듀오) (Prod. Primary),34366008,조광일,2738493,쇼미더머니 10 Final,10802694
71,72,취기를 빌려 (취향저격 그녀 X 산들),32794652,산들,672392,취기를 빌려 (취향저격 그녀 X 산들),10463600
72,73,탕!♡,34377570,MINO (송민호),742773,"""TO INFINITY.""",10805063
73,74,그날에 나는 맘이 편했을까,33107649,이예준,718655,그날에 나는 맘이 편했을까,10527955
74,75,멜로디,33315511,ASH ISLAND,2112495,멜로디,10570193
75,76,ASAP,33397561,STAYC(스테이씨),2899290,STAYDOM,10589127
76,77,다음생이 있다면 당신을 만나서 다시 사랑할래요,34225244,임재현,2087273,다음생이 있다면 당신을 만나서 다시 사랑할래요,10767316
