,rank,song_name,song_id,artist_name,artist_id,alb_name,alb_id
0,1,롤린 (Rollin'),30287019,브레이브걸스,531700,Rollin',10043575
1,2,Celebrity,33239419,아이유,261143,IU 5th Album 'LILAC',10554246
2,3,On The Ground,33346446,로제 (ROSÉ),995171,R,10576966
3,4,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",33331004,양요섭,510565,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",10573486
4,5,Dynamite,32872978,방탄소년단,672375,Dynamite (DayTime Version),10479150
5,6,밤하늘의 별을(2020),33061995,경서,994005,밤하늘의 별을(2020),10518234
6,7,밝게 빛나는 별이 되어 비춰줄게,33167063,송이한,2189536,밝게 빛나는 별이 되어 비춰줄게,10540298
7,8,Gone,33346447,로제 (ROSÉ),995171,R,10576966
8,9,내 손을 잡아,3414749,아이유,261143,최고의 사랑 OST Part.4,1286252
9,10,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),33077590,미란이 (Mirani),2866523,쇼미더머니 9 Episode 1,10521601
10,11,잠이 오질 않네요,33013877,장범준,648551,잠이 오질 않네요,10508266
11,12,Lovesick Girls,32961718,BLACKPINK,995169,THE ALBUM,10498032
12,13,취기를 빌려 (취향저격 그녀 X 산들),32794652,산들,672392,취기를 빌려 (취향저격 그녀 X 산들),10463600
13,14,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),33229299,10CM,468244,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10552055
14,15,나랑 같이 걸을래 (바른연애 길잡이 X 적재),33011180,적재,771375,나랑 같이 걸을래 (바른연애 길잡이 X 적재),10507546
15,16,에잇(Prod.&Feat. SUGA of BTS),32578498,아이유,261143,에잇,10426648
16,17,Blueming,32183386,아이유,261143,Love poem,10346650
17,18,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,32003395,장범준,648551,멜로가 체질 OST Part 3,10320500
18,19,그날에 나는 맘이 편했을까,33107649,이예준,718655,그날에 나는 맘이 편했을까,10527955
19,20,오래된 노래,3894276,스탠딩 에그,467880,오래된 노래,2148596
20,21,힘든 건 사랑이 아니다,32998018,임창정,1142,힘든 건 사랑이 아니다,10505118
21,22,그 한마디 (바른연애 길잡이 X 이하이),33347594,이하이,646171,그 한마디 (바른연애 길잡이 X 이하이),10577232
22,23,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",32061975,AKMU (악뮤),712452,항해,10331947
23,24,고백 (바른연애 길잡이 X 허각),33260801,허각,28801,고백 (바른연애 길잡이 X 허각),10559322
24,25,사실 나는 (Feat.전건호),32525311,경서예지,2863470,사실 나는,10416034
25,26,Savage Love (Laxed - Siren Beat) (BTS Remix),32962258,Jawsh 685,2868396,Savage Love (Laxed - Siren Beat) [BTS Remix],10498123
26,27,METEOR,32224272,창모 (CHANGMO),774900,Boyhood,10359162
27,28,"모든 날, 모든 순간 (Every day, Every Moment)",30962526,폴킴,752425,'키스 먼저 할까요?' OST Part.3,10149492
28,29,Life Goes On,33077234,방탄소년단,672375,BE,10521521
29,30,Dolphin,32559782,오마이걸 (OH MY GIRL),857994,NONSTOP,10423289
30,31,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),32871975,규현 (KYUHYUN),205880,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),10478925
31,32,어떻게 지내 (Prod. By VAN.C),32438894,오반,925515,어떻게 지내,10399190
32,33,2002,31029291,Anne-Marie,870307,Speak Your Mind (Deluxe),10137250
33,34,I'm Not Cool,33244575,현아,449401,I’m Not Cool,10555397
34,35,How You Like That,32720013,BLACKPINK,995169,How You Like That,10451566
35,36,늦은 밤 너의 집 앞 골목길에서,32156286,노을,105623,늦은 밤 너의 집 앞 골목길에서,10348811
36,37,함께 했는데 이별은 나 혼자인 거야,33295747,이소정,661792,함께 했는데 이별은 나 혼자인 거야,10566182
37,38,아로하,32491274,조정석,253606,슬기로운 의사생활 OST Part 3,10409054
38,39,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),31853557,마크툽 (MAKTUB),566431,Red Moon : To You My Light,10294603
39,40,혼술하고 싶은 밤,33104090,벤,655051,혼술하고 싶은 밤,10527241
40,41,너의 번호를 누르고 (Prod. 영화처럼),32224166,#안녕,1024489,너의 번호를 누르고,10359126
41,42,"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))",33115807,릴보이 (lIlBOI),623251,쇼미더머니 9 Episode 3,10529161
42,43,마음을 드려요,32378104,아이유,261143,사랑의 불시착 OST Part 11,10388744
43,44,추억은 만남보다 이별에 남아,33248758,정동하,181188,추억은 만남보다 이별에 남아,10556610
