,rank,song_name,song_id,artist_name,artist_id,alb_name,alb_id
0,1,Counting Stars (Feat. Beenzino),34398735,BE'O (비오),2758756,Counting Stars,10810162
1,2,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",34256568,sokodomo,2561475,쇼미더머니 10 Episode 2,10775252
2,3,리무진 (Feat. MINO) (Prod. GRAY),34298499,BE'O (비오),2758756,쇼미더머니 10 Episode 3,10784974
3,4,All I Want for Christmas Is You,14776,Mariah Carey,2274,Merry Christmas (Deluxe Anniversary Edition),829
4,5,ELEVEN,34349913,IVE (아이브),3055146,ELEVEN,10798794
5,6,Santa Tell Me,5475060,Ariana Grande,597451,Santa Tell Me,2292117
6,7,만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL),34298496,베이식 (Basick),241227,쇼미더머니 10 Episode 3,10784974
7,8,불협화음 (Feat. AKMU) (Prod. GRAY),34331506,Mudd the student,2757382,쇼미더머니 10 Semi Final,10793912
8,9,눈이 오잖아(Feat.헤이즈),34360855,이무진,2138620,눈이 오잖아(Feat.헤이즈),10801677
9,10,사랑은 늘 도망가,34061322,임영웅,994944,신사와 아가씨 OST Part.2,10735654
10,11,strawberry moon,34101563,아이유,261143,strawberry moon,10743453
11,12,매일 크리스마스 (Everyday Christmas),34369413,다비치,236815,매일 크리스마스 (Everyday Christmas),10803363
12,13,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),3053259,아이유,261143,Real,1093562
13,14,다정히 내 이름을 부르면,33496587,경서예지,2863470,다정히 내 이름을 부르면 (경서예지 x 전건호),10610525
14,15,쉬어 (Feat. MINO) (Prod. GRAY),34215822,아넌딜라이트(Anandelight),2402561,쇼미더머니 10 Episode 1,10765081
15,16,Snowman,30717645,Sia,54103,Everyday Is Christmas (Snowman Deluxe Edition),10107511
16,17,신호등,33480898,이무진,2138620,신호등,10607796
17,18,크리스마스니까,3973781,성시경,3305,Jelly Christmas 2012 HEART PROJECT,2168409
18,19,Last Christmas,4365842,Ariana Grande,597451,Christmas Kisses,2222050
19,20,네가 없는 밤 (Feat. ASH ISLAND) (Prod. GRAY),34366006,BE'O (비오),2758756,쇼미더머니 10 Final,10802694
20,21,Savage,34041584,aespa,2899555,Savage - The 1st Mini Album,10731792
21,22,STAY,33658563,The Kid LAROI,2743730,Stay,10646395
22,23,Wake Up (Prod. 코드 쿤스트),34215821,개코,3264,쇼미더머니 10 Episode 1,10765081
23,24,Next Level,33487342,aespa,2899555,Next Level,10609232
24,25,너를 생각해,33978183,주시크 (Joosiq),2880487,너를 생각해,10716399
25,26,취중고백,34431086,김민석 (멜로망스),839736,취중고백,10816959
26,27,Still I Love You,34431340,토요태,3060223,Still I Love You,10817102
27,28,흰눈,34397419,먼데이 키즈 (Monday Kiz),175155,흰눈,10809753
28,29,OHAYO MY NIGHT,32698101,디핵 (D-Hack),785501,OHAYO MY NIGHT,10447520
29,30,문득,33448767,BE'O (비오),2758756,Bipolar,10601149
30,31,낙하 (with 아이유),33725775,AKMU (악뮤),712452,NEXT EPISODE,10661658
31,32,MBTI (Feat. 쿠기 & 로꼬) (Prod. GRAY),34331510,BE'O (비오),2758756,쇼미더머니 10 Semi Final,10793912
32,33,바라만 본다,33625988,MSG워너비(M.O.M),2939212,MSG워너비 1집,10638275
33,34,Butter,33507137,방탄소년단,672375,Butter,10612483
34,35,My Universe,33998510,Coldplay,100260,My Universe,10720913
35,36,Permission to Dance,33666269,방탄소년단,672375,Butter / Permission to Dance,10648182
36,37,그게 더 편할 것 같아 (N번째 연애 X 멜로망스),34326186,멜로망스,839732,그게 더 편할 것 같아 (N번째 연애 X 멜로망스),10792490
37,38,헤픈 우연,33503722,헤이즈 (Heize),751611,HAPPEN,10611845
38,39,Dynamite,32872978,방탄소년단,672375,Dynamite (DayTime Version),10479150
39,40,Weekend,33655994,태연 (TAEYEON),236797,Weekend,10645654
40,41,Celebrity,33239419,아이유,261143,IU 5th Album 'LILAC',10554246
41,42,밤하늘의 별을(2020),33061995,경서,994005,밤하늘의 별을(2020),10518234
42,43,Dreams Come True,34436674,aespa,2899555,Dreams Come True - SM STATION,10818396
43,44,Bad Habits,33623210,Ed Sheeran,549800,=,10637411
44,45,"호우주의 (Feat. 개코, 넉살 (Nucksal)) (Prod. 코드 쿤스트)",34331508,조광일,2738493,쇼미더머니 10 Semi Final,10793912
45,46,Peaches (Feat. Daniel Caesar & Giveon),33359317,Justin Bieber,420621,Justice (The Complete Edition),10580103
46,47,라일락,33372781,아이유,261143,IU 5th Album 'LILAC',10554246
47,48,고백,33868791,멜로망스,839732,세 번째 '고백',10695590
48,49,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",33359725,호미들,2754623,사이렌 Remix,10580227
49,50,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",32061975,AKMU (악뮤),712452,항해,10331947
50,51,이제 나만 믿어요,32508053,임영웅,994944,내일은 미스터트롯 우승자 특전곡,10412319
51,52,찰나가 영원이 될 때 (The Eternal Moment),33976677,마크툽 (MAKTUB),566431,Red Moon : Beyond The Light,10716174
52,53,첫 눈,4352438,EXO,724619,겨울 스페셜 앨범 '12월의 기적 (Miracles In December)',2219671
53,54,"깐부 (Feat. 염따, ASH ISLAND) (Prod. TOIL)",34298498,KOONTA (쿤타),254105,쇼미더머니 10 Episode 3,10784974
54,55,시간을 거슬러 (낮에 뜨는 달 X 케이윌),33878014,케이윌,175139,시간을 거슬러 (낮에 뜨는 달 X 케이윌),10698116
55,56,추억은 만남보다 이별에 남아,33248758,정동하,181188,추억은 만남보다 이별에 남아,10556610
56,57,밝게 빛나는 별이 되어 비춰줄게,33167063,송이한,2189536,밝게 빛나는 별이 되어 비춰줄게,10540298
57,58,롤린 (Rollin'),30287019,브레이브걸스,531700,Rollin',10043575
58,59,"모든 날, 모든 순간 (Every day, Every Moment)",30962526,폴킴,752425,'키스 먼저 할까요?' OST Part.3,10149492
59,60,내 손을 잡아,3414749,아이유,261143,최고의 사랑 OST Part.4,1286252
60,61,탕!♡,34377570,MINO (송민호),742773,"""TO INFINITY.""",10805063
61,62,너와 나의 Memories,34215820,염따,202530,쇼미더머니 10 Episode 1,10765081
62,63,좋아좋아,33691794,조정석,253606,슬기로운 의사생활 시즌2 OST Part 5,10653694
63,64,비가 오는 날엔 (2021),33759183,헤이즈 (Heize),751611,비가 오는 날엔 (2021),10670618
64,65,Dun Dun Dance,33464805,오마이걸 (OH MY GIRL),857994,Dear OHMYGIRL,10604729
65,66,Text Me Merry Christmas (Feat. Kristen Bell),5493429,Straight No Chaser,593338,Under The Influence: Holiday Edition,2293888
66,67,Blueming,32183386,아이유,261143,Love poem,10346650
67,68,밤새 서로 미루다,34388139,존박,28772,밤새 서로 미루다,10807346
68,69,DUMB DUMB,33749109,전소미,968260,DUMB DUMB,10667450
69,70,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),31853557,마크툽 (MAKTUB),566431,Red Moon : To You My Light,10294603
70,71,Off My Face,33359309,Justin Bieber,420621,Justice (The Complete Edition),10580103
71,72,Make It To Christmas,32160237,Alessia Cara,860988,Make It To Christmas,10349552
72,73,멜로디,33315511,ASH ISLAND,2112495,멜로디,10570193
73,74,나 그댈위해 시 한편을 쓰겠어,34171026,케이시 (Kassy),858125,옛이야기,10754229
74,75,그대라는 사치,33652821,임영웅,994944,사랑의 콜센타 PART62,10644845
75,76,비와 당신,33589488,이무진,2138620,슬기로운 의사생활 시즌2 OST Part 1,10631122
76,77,Must Have Love,1489805,SG 워너비,108363,SG워너비 & 브라운아이드걸스 싱글,331377
77,78,취기를 빌려 (취향저격 그녀 X 산들),32794652,산들,672392,취기를 빌려 (취향저격 그녀 X 산들),10463600
78,79,그날에 나는 맘이 편했을까,33107649,이예준,718655,그날에 나는 맘이 편했을까,10527955
79,80,Queendom,33805289,Red Velvet (레드벨벳),780066,Queendom - The 6th Mini Album,10680450
80,81,다시 사랑한다면 (김필 Ver.),33514925,임영웅,994944,사랑의 콜센타 PART56,10614238
81,82,봄날,30244931,방탄소년단,672375,YOU NEVER WALK ALONE,10037969
82,83,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),31737197,방탄소년단,672375,MAP OF THE SOUL : PERSONA,10273641
83,84,다음생이 있다면 당신을 만나서 다시 사랑할래요,34225244,임재현,2087273,다음생이 있다면 당신을 만나서 다시 사랑할래요,10767316
84,85,ASAP,33397561,STAYC(스테이씨),2899290,STAYDOM,10589127
85,86,너의 모든 순간,4446485,성시경,3305,별에서 온 그대 OST Part.7,2232505
86,87,SCIENTIST,34254823,TWICE (트와이스),905701,Formula of Love: O+T=<3,10774753
87,88,Savage Love (Laxed - Siren Beat) (BTS Remix),32962258,Jawsh 685,2868396,Savage Love (Laxed - Siren Beat) [BTS Remix],10498123
88,89,에잇(Prod.&Feat. SUGA of BTS),32578498,아이유,261143,에잇,10426648
89,90,잊었니,33606505,임영웅,994944,사랑의 콜센타 PART60,10633915
90,91,Underneath The Tree,4322520,Kelly Clarkson,36329,Wrapped In Red (Deluxe Version),2216493
91,92,"08베이식 (Feat. 염따, punchnello)",34331507,베이식 (Basick),241227,쇼미더머니 10 Semi Final,10793912
92,93,TROUBLE (Prod. Slom),34215819,Don Mills,729407,쇼미더머니 10 Episode 1,10765081
93,94,별빛 같은 나의 사랑아,33337651,임영웅,994944,별빛 같은 나의 사랑아,10575005
