,rank,song_name,song_id,artist_name,artist_id,alb_name,alb_id
0,1,사랑에 연습이 있었다면 (Prod. 2soo),31324607,임재현,2087273,사랑에 연습이 있었다면,10207131
1,2,주저하는 연인들을 위해,31666417,잔나비,772253,전설,10260858
2,3,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),31737197,방탄소년단,672375,MAP OF THE SOUL : PERSONA,10273641
3,4,Goodbye,31777113,박효신,1191,Goodbye,10281385
4,5,2002,31029291,Anne-Marie,870307,Speak Your Mind (Deluxe),10137250
5,6,AH YEAH (아예),31798464,WINNER,775197,WE,10285396
6,7,너에게 못했던 내 마지막 말은,31804010,다비치,236815,너에게 못했던 내 마지막 말은,10286309
7,8,FANCY,31754579,TWICE (트와이스),905701,FANCY YOU,10276861
8,9,bad guy,31701428,Billie Eilish,1239008,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",10267565
9,10,"나만, 봄",31709523,볼빨간사춘기,792022,사춘기집Ⅰ 꽃기운,10268898
10,11,노래방에서,31684636,장범준,648551,장범준 3집,10264375
11,12,사계 (Four Seasons),31688205,태연 (TAEYEON),236797,사계 (Four Seasons),10265079
12,13,Kill This Love,31717822,BLACKPINK,995169,KILL THIS LOVE,10270288
13,14,그때가 좋았어,31524320,케이시 (Kassy),858125,그때가 좋았어,10237420
14,15,교통정리 (Feat. 헤이즈),31815490,기리보이,585492,교통정리,10288336
15,16,사월이 지나면 우리 헤어져요 (Beautiful goodbye),31706215,첸 (CHEN),715176,"사월, 그리고 꽃 - The 1st Mini Album",10268441
16,17,사계 (하루살이),31532642,엠씨더맥스 (M.C the MAX),161636,Circular,10238710
17,18,뜨거운 여름밤은 가고 남은 건 볼품없지만,8298724,잔나비,772253,MONKEY HOTEL,2702242
18,19,옥탑방 (Rooftop),31532656,엔플라잉 (N.Flying),861430,FLY HIGH PROJECT #2 '옥탑방',10238711
19,20,사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들이 자꾸 내 마음을 가둬두네,4848555,잔나비,772253,봉춤을 추네,2278294
20,21,달라달라,31606729,ITZY (있지),2622030,IT'z Different,10250473
21,22,별 보러 갈래?,31709524,볼빨간사춘기,792022,사춘기집Ⅰ 꽃기운,10268898
22,23,당신과는 천천히,31684634,장범준,648551,장범준 3집,10264375
23,24,"모든 날, 모든 순간 (Every day, Every Moment)",30962526,폴킴,752425,'키스 먼저 할까요?' OST Part.3,10149492
24,25,소우주 (Mikrokosmos),31737198,방탄소년단,672375,MAP OF THE SOUL : PERSONA,10273641
25,26,넘쳐흘러,31532643,엠씨더맥스 (M.C the MAX),161636,Circular,10238710
26,27,비가 오잖아,31803557,소유 (SOYOU),490981,비가 오잖아,10286209
27,28,너를 만나,31388145,폴킴,752425,너를 만나,10217134
28,29,Make It Right,31737199,방탄소년단,672375,MAP OF THE SOUL : PERSONA,10273641
29,30,봄날,30244931,방탄소년단,672375,YOU NEVER WALK ALONE,10037969
30,31,진심이 담긴 노래 (True Song),31699965,케이시 (Kassy),858125,진심이 담긴 노래 (True Song),10267222
31,32,벌써 12시,31532438,청하,968265,벌써 12시,10238683
32,33,그건 아마 우리의 잘못은 아닐 거야,31674786,백예린 (Yerin Baek),698776,Our love is great,10262378
33,34,Paris In The Rain,31341518,Lauv,1956543,I met you when I was 18. (the playlist),10209752
34,35,이 노래가 클럽에서 나온다면,31576009,우디 (Woody),673033,이 노래가 클럽에서 나온다면,10245121
35,36,다섯 번째 계절 (SSFWL),31782686,오마이걸 (OH MY GIRL),857994,THE FIFTH SEASON,10282459
36,37,고고베베 (gogobebe),31668491,마마무 (Mamamoo),750053,White Wind,10261306
37,38,Dionysus,31737202,방탄소년단,672375,MAP OF THE SOUL : PERSONA,10273641
38,39,술이 달다 (Feat. Crush),31658897,에픽하이 (EPIK HIGH),108356,sleepless in __________,10259609
39,40,IDOL,31266290,방탄소년단,672375,LOVE YOURSELF 結 'Answer',10197480
40,41,비올레타,31706346,IZ*ONE (아이즈원),2398653,HEART*IZ,10268465
41,42,멍청이(twit),31608765,화사 (Hwa Sa),756531,멍청이(twit),10250874
42,43,She (Hidden Track No.V 1월 선정곡),30616707,잔나비,772253,She,10093774
43,44,봄 (feat. 산다라박),31663597,박봄 (Park Bom),439341,Spring,10260433
44,45,Way Back Home,31151836,숀 (SHAUN),510242,Take,10179508
45,46,신용재,31406357,하은 (포맨),2297933,신용재,10219644
46,47,7 rings,31567235,Ariana Grande,597451,7 rings,10243766
47,48,이별하러 가는 길,31304766,임한별,471741,이별하러 가는 길,10203965
48,49,눈 (Prod. 기리보이),31671295,Lil tachi,2635189,고등래퍼3 팀대항전 Part 1,10261773
49,50,180도,31477685,벤,655051,180˚,10230497
50,51,초록빛,31565593,폴킴,752425,초록빛,10243480
51,52,HOME,31737200,방탄소년단,672375,MAP OF THE SOUL : PERSONA,10273641
52,53,이 밤,31764891,양다일,695994,skepticism,10278920
53,54,신청곡 (Feat. SUGA of BTS),31571110,이소라,983,신청곡 (Feat. SUGA of BTS),10244499
54,55,오월의 어느 봄날 (Feat. 첸(CHEN)),31792360,임한별,471741,오월의 어느 봄날,10284331
55,56,띵 (Prod. By 기리보이),31554317,Jvcki Wai,982316,Dingo X Indigo Music,10241866
56,57,너도 그냥 날 놓아주면 돼,31455159,윤건,14801,너도 그냥 날 놓아주면 돼,10227145
57,58,YES or YES,31403163,TWICE (트와이스),905701,YES or YES,10219298
58,59,내 생에 아름다운,31373277,케이윌,175139,뷰티 인사이드 OST Part.4,10214874
59,60,"thank u, next (Explicit Ver.)",31402611,Ariana Grande,597451,"thank u, next (Explicit Ver.)",10219179
60,61,Jamais Vu,31737201,방탄소년단,672375,MAP OF THE SOUL : PERSONA,10273641
61,62,오늘 밤에,31655897,홍진영,418700,Lots of Love,10259010
62,63,comethru,31621518,Jeremy Zucker,1758307,"summer,",10252905
63,64,고백,31356458,양다일,695994,고백,10212203
64,65,Love Shot,31492319,EXO,724619,LOVE SHOT - The 5th Album Repackage,10232781
65,66,SOLO,31417871,제니 (JENNIE),995173,SOLO,10221424
66,67,지나오다,30699142,닐로(Nilo),896096,About You,10106853
67,68,너는 어땠을까,31403156,노을,105623,별,10219296
68,69,비,8235260,폴킴,752425,비,2692501
69,70,삐삐,31346009,아이유,261143,삐삐,10210535
70,71,MILLIONS,31506637,WINNER,775197,MILLIONS,10234872
71,72,여자친구,31652482,하은요셉,2633192,여자친구,10258349
72,73,아낙네,31448480,MINO (송민호),742773,XX,10226163
73,74,Don't Know What To Do,31717823,BLACKPINK,995169,KILL THIS LOVE,10270288
74,75,니 소식,31788850,송하예,722098,니 소식,10283614
75,76,밤편지,30314784,아이유,261143,밤편지,10047890
76,77,열애중,31062863,벤,655051,RECIPE,10164839
77,78,Intro : Persona,31737196,방탄소년단,672375,MAP OF THE SOUL : PERSONA,10273641
78,79,있어줄래,31723469,길구봉구,500421,있어줄래,10271322
79,80,흔한 이별,31453551,허각,28801,흔한 이별,10226943
80,81,그러나,31652857,10CM,468244,4.3,10258451
81,82,SHE'S FINE,31677966,헤이즈 (Heize),751611,She's Fine,10263118
82,83,돈 Call Me (Prod.BRLLNT),31788828,염따,202530,Dingo X 염따,10283605
83,84,안녕하세요,31812139,김재환,945663,Another,10287686
84,85,"GO HIGH (Feat. 우원재, 창모 (CHANGMO), The Quiett) (Prod. CODE KUNST)",31736992,이영지,2636153,고등래퍼3 Final,10273613
85,86,9-TEEN,31808054,세븐틴,861436,A-TEEN2 Part.2,10286928
86,87,아름답고도 아프구나,31417922,비투비,647971,HOUR MOMENT,10215293
87,88,Dance The Night Away,31175119,TWICE (트와이스),905701,Summer Nights,10183127
88,89,그리워하다,30672529,비투비,647971,Brother Act.,10102658
89,90,Tempo,31399721,EXO,724619,DON'T MESS UP MY TEMPO - The 5th Album,10218750
90,91,가을 타나 봐,31314144,바이브,160080,가을 타나 봐,10205439
91,92,하루도 그대를 사랑하지 않은 적이 없었다,31316695,임창정,1142,하루도 그대를 사랑하지 않은 적이 없었다,10205805
92,93,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),31340985,pH-1,943511,쇼미더머니 777 Episode 1,10209647
93,94,너 없인 안 된다,31133898,비투비,647971,THIS IS US,10175106
94,95,Mermaid,31709526,볼빨간사춘기,792022,사춘기집Ⅰ 꽃기운,10268898
95,96,스며들기 좋은 오늘,31783829,백예린 (Yerin Baek),698776,A-TEEN2 Part.1,10282644
96,97,여행,31093710,볼빨간사춘기,792022,Red Diary Page.2,10170069
97,98,우린 어디에나,31808248,CHEEZE (치즈),597191,Plate,10286982
98,99,뚜두뚜두 (DDU-DU DDU-DU),31131273,BLACKPINK,995169,SQUARE UP,10176415
99,100,I Don't Care,31788110,Ed Sheeran,549800,No.6 Collaborations Project,10283461
