,rank,song_name,song_id,artist_name,artist_id,alb_name,alb_id
0,1,시차 (We Are) (Feat. 로꼬 & GRAY),30613202,우원재,1866689,시차 (We Are),10093389
1,2,좋니,30486509,윤종신,437,LISTEN 010 좋니,10073513
2,3,가시나,30587846,선미,22938,SUNMI SPECIAL EDITION '가시나',10089089
3,4,비도 오고 그래서 (Feat. 신용재),30492279,헤이즈 (Heize),751611,/// (너 먹구름 비),10074454
4,5,"Red Sun (Feat. ZICO, Swings)",30601121,행주,340669,쇼미더머니 6 Episode 4,10091285
5,6,에너제틱 (Energetic),30568338,Wanna One (워너원),1865973,1X1=1(TO BE ONE),10085951
6,7,매일 듣는 노래 (A Daily Song),30467550,황치열,205746,Be Ordinary,10070673
7,8,빨간 맛 (Red Flavor),30512671,Red Velvet (레드벨벳),780066,The Red Summer - Summer Mini Album,10077879
8,9,N분의1 (Feat. 다이나믹듀오),30566061,넉살,672461,쇼미더머니 6 Episode 1,10085618
9,10,밤편지,30314784,아이유,261143,밤편지,10047890
10,11,"요즘것들 (Feat. ZICO, DEAN)",30566064,행주,340669,쇼미더머니 6 Episode 1,10085618
11,12,마지막처럼,30481578,BLACKPINK,995169,마지막처럼,10072696
12,13,널 너무 모르고,30492276,헤이즈 (Heize),751611,/// (너 먹구름 비),10074454
13,14,남이 될 수 있을까,30468654,볼빨간사춘기,792022,남이 될 수 있을까,10070846
14,15,Artist,30519033,지코 (ZICO),602056,TELEVISION,10078915
15,16,all of my life,30550388,박원,41499,0M,10083290
16,17,Shape of You,30188113,Ed Sheeran,549800,÷ (Deluxe),10028835
17,18,사랑하지 않은 것처럼,30550293,버즈,160091,'Be One' - Buzz The 1st Mini Album,10083276
18,19,필라멘트 (Feat. BSK A.K.A 김범수),30601123,넉살,672461,쇼미더머니 6 Episode 4,10091285
19,20,Ko Ko Bop,30529996,EXO,724619,THE WAR - The 4th Album,10080589
20,21,처음부터 너와 나,30414090,볼빨간사춘기,792022,군주 - 가면의 주인 OST Part.2,10062351
21,22,Power,30616684,EXO,724619,The Power of Music - The 4th Album Repackage,10093773
22,23,팔레트 (Feat. G-DRAGON),30378156,아이유,261143,Palette,10056666
23,24,귀를 기울이면 (LOVE WHISPER),30558525,여자친구 (GFRIEND),828478,여자친구 The 5th Mini Album 'PARALLEL',10084442
24,25,활활 (Burn It Up),30568337,Wanna One (워너원),1865973,1X1=1(TO BE ONE),10085951
25,26,"무제(無題) (Untitled, 2014)",30461396,G-DRAGON,6984,권지용,10069644
26,27,베베 (BABE),30605241,현아,449401,Following,10091938
27,28,SEARCH (Feat. 카더가든),30588628,행주,340669,쇼미더머니 6 Episode 3,10089191
28,29,나로 말할 것 같으면 (Yes I am),30488202,마마무 (Mamamoo),750053,Purple,10073791
29,30,오늘 취하면 (Feat. 창모) (Prod. SUGA),30390068,SURAN (수란),792765,WINE,10058598
30,31,Why Don't You Know (Feat. 넉살),30457690,청하,968265,Hands on Me,10068972
31,32,LOVE ME LOVE ME,30565334,WINNER,775197,OUR TWENTY FOR,10085466
32,33,첫눈처럼 너에게 가겠다,30190630,에일리(Ailee),629831,도깨비 OST Part.9,10029181
33,34,"또 (Feat. Tiger JK, Bizzy, 마샬(MRSHLL))",30588627,우원재,1866689,쇼미더머니 6 Episode 3,10089191
34,35,"어디 (Feat. DEAN, ZICO)",30576771,킬라그램 (KILLAGRAMZ),1023874,쇼미더머니 6 Episode 2,10087397
35,36,DINOSAUR,30536155,AKMU (악뮤),712452,SUMMER EPISODE,10081450
36,37,FANXY CHILD (Feat. FANXY CHILD),30519035,지코 (ZICO),602056,TELEVISION,10078915
37,38,New Face,30403590,싸이 (PSY),3865,PSY 8th 4X2=8,10060647
38,39,REALLY REALLY,30341745,WINNER,775197,FATE NUMBER FOR,10051659
39,40,Marry Me,4786735,마크툽 (MAKTUB),566431,마크툽 프로젝트 Vol.03,2271467
40,41,"부르는게 값이야 (Feat. 개코, 던밀스)",30588629,넉살,672461,쇼미더머니 6 Episode 3,10089191
41,42,FIVE,30492606,Apink (에이핑크),534360,Pink UP,10074500
42,43,MOVE (Feat. Bizzy),30612159,우원재,1866689,쇼미더머니 6 Episode 5,10093191
43,44,미치고 싶다,30399360,한동근,711476,한동근 1ST ALBUM 'Your Diary',10059997
44,45,Wanna Be (My Baby),30568339,Wanna One (워너원),1865973,1X1=1(TO BE ONE),10085951
45,46,사랑이 잘 (With 오혁),30349593,아이유,261143,사랑이 잘,10052968
46,47,SIGNAL,30413326,TWICE (트와이스),905701,SIGNAL,10062172
47,48,Holiday,30565630,소녀시대 (GIRLS' GENERATION),228069,Holiday Night - The 6th Album,10085546
48,49,D (half moon) (Feat. 개코),8109412,DEAN,880630,130 Mood : TRBL,2674623
49,50,Closer (Feat. Halsey),8287788,The Chainsmokers,713297,Collage EP,2700553
50,51,좋다고 말해,30163110,볼빨간사춘기,792022,Full Album RED PLANET 'Hidden Track',10024816
51,52,BLUE MOON (Prod. GroovyRoom),30367365,효린,573812,BLUE MOON,10055259
52,53,있다면,30543235,뉴이스트 W,1816966,NU'EST W '있다면',10082330
53,54,나만 안되는 연애,9620473,볼빨간사춘기,792022,Full Album RED PLANET,2707131
54,55,불장난,30069773,BLACKPINK,995169,SQUARE TWO,10011491
55,56,아침에 (Feat. Bryn),30495638,양홍원,907416,아침에,10074941
56,57,돌아오지마 (Feat. 용준형 Of 비스트),8143111,헤이즈 (Heize),751611,돌아오지마,2679308
57,58,DARLING,30581595,태양,247621,WHITE NIGHT,10088094
58,59,어디에도,8033528,엠씨더맥스 (M.C the MAX),161636,pathos,2664299
59,60,여보세요,4032981,뉴이스트,640891,THE SECOND MINI ALBUM '여보세요',2175137
60,61,Love Yourself,7931286,Justin Bieber,420621,Purpose (Deluxe),2337419
61,62,폰서트,30611680,10CM,468244,4.0,10093077
