,rank,song_name,song_id,artist_name,artist_id,alb_name,alb_id
0,1,아낙네,31448480,MINO (송민호),742773,XX,10226163
1,2,SOLO,31417871,제니 (JENNIE),995173,SOLO,10221424
2,3,너를 만나,31388145,폴킴,752425,너를 만나,10217134
3,4,YES or YES,31403163,TWICE (트와이스),905701,YES or YES,10219298
4,5,가을 타나 봐,31314144,바이브,160080,가을 타나 봐,10205439
5,6,삐삐,31346009,아이유,261143,삐삐,10210535
6,7,아름답고도 아프구나,31417922,비투비,647971,HOUR MOMENT,10215293
7,8,내 생에 아름다운,31373277,케이윌,175139,뷰티 인사이드 OST Part.4,10214874
8,9,봄바람,31433084,Wanna One (워너원),1865973,1¹¹=1 (POWER OF DESTINY),10223837
9,10,고백,31356458,양다일,695994,고백,10212203
10,11,"모든 날, 모든 순간 (Every day, Every Moment)",30962526,폴킴,752425,'키스 먼저 할까요?' OST Part.3,10149492
11,12,Tempo,31399721,EXO,724619,DON'T MESS UP MY TEMPO - The 5th Album,10218750
12,13,하루도 그대를 사랑하지 않은 적이 없었다,31316695,임창정,1142,하루도 그대를 사랑하지 않은 적이 없었다,10205805
13,14,신용재,31406357,하은 (포맨),2297933,신용재,10219644
14,15,동화 (feat. 아이유),31478848,김동률,925,동화 (feat. 아이유),10230606
15,16,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),31340985,pH-1,943511,쇼미더머니 777 Episode 1,10209647
16,17,Bohemian Rhapsody (2011 Remaster),3087601,Queen,103964,Greatest Hits (2011 Remaster),1123959
17,18,흔한 이별,31453551,허각,28801,흔한 이별,10226943
18,19,Way Back Home,31151836,숀 (SHAUN),510242,Take,10179508
19,20,이별하러 가는 길,31304766,임한별,471741,이별하러 가는 길,10203965
20,21,열애중,31062863,벤,655051,RECIPE,10164839
21,22,RBB (Really Bad Boy),31460625,Red Velvet (레드벨벳),780066,RBB - The 5th Mini Album,10228030
22,23,시간이 들겠지 (Feat. Colde),31344113,로꼬,688432,시간이 들겠지,10210198
23,24,Wind flower,31457611,마마무 (Mamamoo),750053,BLUE;S,10227568
24,25,우리 그만하자,31314142,로이킴,699632,우리 그만하자,10205438
25,26,멋지게 인사하는 법 (Feat. 슬기 of Red Velvet),31356451,Zion.T,537920,ZZZ,10212202
26,27,헤어지는 중,31302310,펀치 (Punch),749640,헤어지는 중,10203500
27,28,지나오다,30699142,닐로(Nilo),896096,About You,10106853
28,29,"thank u, next (Explicit Ver.)",31402611,Ariana Grande,597451,"thank u, next (Explicit Ver.)",10219179
29,30,라비앙로즈 (La Vie en Rose),31388213,IZ*ONE (아이즈원),2398653,COLOR*IZ,10217163
30,31,IDOL,31266290,방탄소년단,672375,LOVE YOURSELF 結 'Answer',10197480
31,32,사이렌 (Siren),31286161,선미,22938,WARNING,10200838
32,33,IndiGO,31144690,저스디스 (JUSTHIS),786499,IM,10178566
33,34,뚜두뚜두 (DDU-DU DDU-DU),31131273,BLACKPINK,995169,SQUARE UP,10176415
34,35,꿈처럼 내린,31356799,다비치,236815,뷰티 인사이드 OST Part.3,10212287
35,36,미안해,30809895,양다일,695994,inside,10123639
36,37,비,8235260,폴킴,752425,비,2692501
37,38,밤편지,30314784,아이유,261143,밤편지,10047890
38,39,이별길 (GOODBYE ROAD),31331745,iKON,895741,NEW KIDS : THE FINAL,10208358
39,40,가을 안부,30669593,먼데이 키즈 (Monday Kiz),175155,가을 안부,10102177
40,41,Gravity,31399726,EXO,724619,DON'T MESS UP MY TEMPO - The 5th Album,10218750
41,42,Dance The Night Away,31175119,TWICE (트와이스),905701,Summer Nights,10183127
42,43,수퍼비와 (Feat. BewhY) (Prod. BewhY),31399795,수퍼비 (SUPERBEE),695757,쇼미더머니 777 Semi Final,10218777
